Var_0,Var_1,Var_2,Var_3,Var_4,Target
5.0,0.9446464080694904,0.0295216360186674,23.0,4.0,0.9420661643550712
2.0,0.3850509236872219,0.4979175543730987,37.0,8.0,0.9999582335264938
3.0,0.7589112510560034,0.6901496835775408,23.0,10.0,1.0455578908404718e-05
3.0,0.5903125595902909,0.0543966446229058,27.0,9.0,0.9999999142703642
3.0,0.0472514363530576,0.406829268774805,32.0,1.0,0.9999999962916633
3.0,0.5317915553406873,0.0777334115750832,36.0,4.0,0.9999999993861036
2.0,0.5452569658689307,0.3683189424166054,12.0,8.0,0.9952930147333776
3.0,0.0880197093697576,0.6575269629244441,28.0,9.0,0.0016724425702115
3.0,0.9889918167568946,0.2836452201183141,26.0,6.0,0.9412261848469974
3.0,0.8872933092045487,0.8853289513868396,19.0,5.0,8.05286215573115e-07
3.0,0.1438045565573219,0.1082321615006942,21.0,6.0,0.9999999720320376
4.0,0.1091696862221378,0.9560288868481006,27.0,4.0,8.845727447372955e-07
4.0,0.191210391262569,0.199567074479476,39.0,7.0,0.999999999367114
3.0,0.4521754414664901,0.8038502861494147,12.0,2.0,0.0001389375007237
4.0,0.7287721878456735,0.221331793658002,10.0,6.0,0.8641407758977432
4.0,0.8489368540209126,0.4427205244448002,30.0,1.0,0.9954810112220582
2.0,0.3519695567841343,0.7225461757688939,30.0,3.0,0.9938478676322554
4.0,0.2081578143169644,0.2423041705822812,15.0,10.0,0.9707641597344596
2.0,0.3016259400766094,0.9149703600864876,20.0,7.0,1.5329859969840532e-05
5.0,0.4220052245325561,0.51246730243268,36.0,3.0,0.9049258862838092
4.0,0.0165250302412057,0.6285811631026409,13.0,5.0,0.9339556484828272
5.0,0.6874662140541787,0.5733865142243265,15.0,3.0,0.0093297151581872
4.0,0.931998007042264,0.8476508757835441,33.0,4.0,3.294888196581257e-07
4.0,0.4900370854886753,0.979874506469349,35.0,8.0,3.699503723861267e-09
4.0,0.6675607222980978,0.7986794443948931,17.0,8.0,4.058593542090659e-06
5.0,0.2559567487762583,0.5346235424001122,24.0,6.0,0.101181265498465
4.0,0.3326422718212693,0.1379674524836977,19.0,2.0,0.9999996145918204
5.0,0.7706537149562686,0.3537789884894945,33.0,9.0,0.1314324265766099
3.0,0.8278999276915318,0.7510311841671823,39.0,5.0,1.7517107702768445e-05
2.0,0.6270547216031994,0.3331101960935076,18.0,2.0,0.9999968691706274
4.807625347532369,0.010000000000000002,1.0,10.130536222551648,8.876884468269887,3.004928178262925e-08
4.566616348287026,0.26214607158381775,0.8232205006906155,34.94833996082094,3.0405082804213492,3.2453683042971977e-06
4.650375394663836,0.5720738356179677,0.5028025081478154,11.536697304861645,1.1649637517385392,0.9172253464853183
2.223567864800657,1.0,0.0,10.24139404533505,1.2955545197864202,0.9999932842766781
4.83757358661089,0.27952724021501435,0.5592656671656686,26.6919074007792,6.056861650290675,0.1551886280721554
4.670751595928714,0.558147959510355,0.5370405141943766,36.24116102813529,8.875897244742747,4.9554656549946375e-05
2.394804614983003,0.5865247470231039,0.5914176903418276,11.547168962962655,8.371509681113903,0.0012758329318587661
2.366307507563919,1.0,1.0,38.686750759437096,1.2855836398166698,1.5748101037377425e-08
3.567655411972974,0.7293866740946914,0.5673249487472403,34.26380428595331,3.6320361819291325,0.5726532156657513
2.316187336328478,0.535165964029031,0.5278885921831852,10.417455844466293,9.701152891354722,0.0008039792937221924
4.871991697790851,1.0,0.5381327466629128,37.1025067491326,8.891986506627862,9.349283216560593e-07
4.8573645296809795,0.01,0.0,13.394760189761364,9.949430205470474,0.999996595420169
2.4965473442650246,1.0,0.5478566012521171,11.844103989704733,6.714633044243745,0.0001634193577071728
2.106401487140017,1.0,0.5263250384421666,11.042386165979915,6.571610856082025,0.0009148055273784225
3.075180140962916,0.01,0.4493767564962332,18.845574027109475,1.1728377270057715,0.999999761653757
4.791412420800352,0.9819543974375833,0.5324273548150721,39.59363580444554,9.902368287186082,5.785863250379908e-07
3.682788358958534,0.5861223812489215,0.5471859641030793,36.12205977020832,4.0248179547820335,0.5355668122224452
4.231402531690479,0.01,0.6317000717909969,10.439392779123395,5.377567098156985,0.31852138664897967
2.4931961384024124,0.42361803915751317,0.5209804328777355,20.58314065576364,9.58274701590438,0.2559346647608119
3.169600513255897,0.08739026381293778,0.0,27.74664770422953,8.725575303994972,0.9999999999552043
2.034776306589456,0.28013766532879475,0.5095194167212941,39.85185356336424,8.100967121667985,0.9999831619934616
4.7738591811892475,0.733221943093416,0.561436651118517,14.361402622062725,1.635269863545,0.058870459327996
3.8946461161418697,0.8482157621467238,0.4576900562045931,29.384982557812535,1.2787836300188662,0.9937918597268273
