Number of Types,Density,Intolerance threshold,Map size,Perception distance,Convergence,Sparsity
4.0,0.024482988511817724,0.3096109367976748,15.0,7.0,True,53.661555919408535
3.0,0.5146885940063006,0.5820625743417129,27.0,6.0,True,2.5445499270863916
3.0,0.6489398161482619,0.08812883733602216,40.0,5.0,True,3.035427521172002
5.0,0.31978678650799575,0.5604673461555345,26.0,10.0,True,13.969133336505774
3.0,0.06811761016568164,0.838150806295535,15.0,4.0,True,21.510116808312596
5.0,0.845885420006982,0.059535476842565126,20.0,4.0,True,4.992858897952435
5.0,0.8985289639064343,0.9645942151658328,23.0,5.0,True,6.078116094592749
3.0,0.12730129797152254,0.8860353713233465,34.0,9.0,True,18.406065740015315
4.0,0.823444937851309,0.6148718758524676,35.0,1.0,True,2.1709907382733684
2.0,0.24528740967607057,0.6362549973105367,13.0,10.0,True,8.37802229235312
4.0,0.9779417769123042,0.3595641459167379,33.0,8.0,True,1.5882151299598044
4.0,0.23992782117032896,0.984022413415718,31.0,2.0,True,10.898608065346199
4.0,0.7940311444845619,0.3856247065317631,11.0,7.0,True,2.174835631619905
5.0,0.10658324463200387,0.16568993414649677,31.0,6.0,True,22.572357293905455
5.0,0.3881442205927652,0.91607678123143,12.0,8.0,True,10.894113790458192
3.0,0.4574538363045986,0.24919016420753112,10.0,3.0,True,2.4026142687598164
2.0,0.34024295490178313,0.44346500326875377,23.0,2.0,True,-0.3909236352493491
2.0,0.6930903354157547,0.21086084527127175,17.0,9.0,True,1.293562563411139
2.0,0.9501933308136992,0.29000883673340827,24.0,4.0,True,0.8543275692918479
2.0,0.19040179312299213,0.1681267921929076,29.0,7.0,True,10.345601537656096
3.0,0.15369935694828565,0.418841203549373,39.0,2.0,True,5.068557654788912
2.0,0.7178289295707451,0.7906487651983646,16.0,5.0,True,1.6055416525945732
2.0,0.7426779910382426,0.4951134357756055,37.0,9.0,True,1.1809256318435493
5.0,0.30147838046990866,0.5220638838242299,21.0,3.0,True,5.221274260233625
4.0,0.5514107664275223,0.02861993066371275,26.0,8.0,True,7.730811890787824
3.0,0.9326324540369677,0.709074718728172,21.0,10.0,True,1.9499553126910105
4.0,0.5948378585696829,0.7435318874716884,18.0,1.0,True,2.6283296123025974
